90,80,50,120,6010,1910,3800,7560,150,6550,90,140,
2200,70,7690,80,7970,1480,65380,36100,25200,180,4480,20,
61580,39810,28290,7060,23470,6000,134170,169000,136210,19170,3580,90,
178180,182300,213080,20620,19360,34660,335910,407230,479480,17480,3850,27240,
308690,337650,339060,72900,88910,63030,473480,474460,350530,90560,119610,106540,
279370,522710,498650,240760,240100,291020,440810,492390,397800,296260,341740,348200,
264890,400780,484520,444840,512730,442720,475800,495710,495520,399090,383180,428570,
386900,581660,461850,594640,566660,440740,510090,623570,521620,501420,514480,484740,


70,4250,110,50,1010,40,110,100,50,80,90,60,
12000,25500,35740,130,2460,1560,60,8180,5470,150,120,80,
133360,100000,117650,4200,6100,5030,3960,3310,20780,8450,4040,330,
350680,310400,329180,81760,45230,137580,8840,22930,8160,42070,67390,172620,
531320,522420,556370,267510,185340,256950,115400,87260,122640,220230,259820,196860,
685220,561350,463490,396170,353910,467810,160530,197850,315870,298860,402530,576620,
593250,674470,533210,505510,428220,572720,250250,430450,381170,628170,604480,502410,
654110,612080,531170,649670,461880,587850,504410,527600,608680,586190,750050,520470,


120,110,80,3950,110,80,150,200,110,110,1220,130,
1060,5130,310,8310,10310,15060,73360,28940,47050,4480,6050,1060,
23750,40980,28240,95060,106210,139330,199030,171070,245380,68740,40110,67310,
138390,124600,191540,212100,244030,363650,388540,336830,473220,209150,151500,237700,
153680,329070,326760,244450,288610,466230,414360,540650,401270,360610,239840,379620,
206020,368340,607540,272550,393650,416030,420910,589520,482410,382410,316740,528160,
246870,527270,493660,315530,492280,481350,430550,497450,587130,457000,387800,678260,
305400,576070,552000,308750,643670,357470,591420,638280,628430,549870,435030,726760,


150,70,11150,90,6620,40,40,120,60,40,80,40,
140,11420,110,100,150,190,16460,53320,41860,6320,900,3980,
46000,19620,34380,43890,10260,55050,108780,52090,143120,6950,12750,510,
126060,137400,175220,175490,69180,208920,329900,273710,207950,15900,2610,19360,
419470,414870,364250,298120,216120,213330,386130,463390,379840,136810,124340,76650,
598800,555230,614950,529460,365240,326940,592270,396840,536630,274060,153160,161160,
689880,597170,535000,356980,431380,445590,522050,519120,480880,540890,250590,317690,
615230,631630,773900,559990,448900,484650,731350,524580,568390,834630,342860,426860,


60,60,100,130,40,70,100,90,130,3650,20,40,
120,40,170,6350,3570,23330,2200,60,160,540,6880,1360,
90,50,150,62790,75280,75860,530,1120,220,56800,44780,63460,
100,80,640,189220,118190,218680,7540,2590,6560,150970,159260,520710,
26130,36780,11230,347700,315390,463340,75370,94060,76000,495620,718110,372560,
73530,83710,118790,502950,505910,458160,312820,308480,270960,536670,672600,378980,
225400,237540,164420,490750,566360,659050,480180,434230,495750,601440,581440,352310,
635350,647840,607580,719850,590430,724490,761440,768800,629290,760000,708360,361240,


60,60,4690,210,80,190,3540,180,15540,4730,70,60,
50,170,4010,4340,190,80,3640,1090,8680,5560,3410,8520,
190,170,190,5810,15450,12780,58260,41670,51870,7560,270,1530,
4750,180,10280,132380,108000,76230,184590,209700,345140,27830,29930,66440,
44810,28270,94960,422880,279030,262620,396200,331360,514430,172530,98550,164450,
163290,133380,258930,494490,553330,426260,511110,482390,781180,196590,247430,410240,
353400,327450,486400,570490,592030,455750,720100,473720,862230,453150,387560,533770,
638620,424720,565360,719460,723170,574970,530880,602910,936640,528380,521310,768730,


90,170,80,70,2120,80,2040,290,110,9800,3110,90,
9270,100,480,1750,16720,3700,140,240,120,28760,5220,9370,
4490,600,1400,3740,1910,960,7930,3990,220,186530,107780,186590,
100200,133910,91340,8330,45950,29600,220,3650,380,359220,419880,337530,
238170,254930,374040,122080,151400,129820,9120,5560,8310,533700,618340,632580,
562920,528670,516390,337090,352110,501370,41230,37100,15010,588950,540610,550880,
527120,467900,631000,447660,552780,840660,134130,94980,105630,527330,543970,620410,
677330,596180,796010,530130,679620,698260,624140,657450,593480,686980,630140,565240,


100,4980,90,8480,150,420,1340,230,60,160,90,50,
5580,7590,13710,33320,63320,54650,150,3600,80,90,70,60,
46360,28190,88210,236180,153630,190870,23030,12500,21760,100,600,7620,
297360,203910,315360,474790,446140,455730,95580,134140,150190,32080,1830,53290,
568330,514260,440310,563500,546500,524440,391730,351720,310050,138850,80100,286860,
775470,562670,609240,641580,673360,579930,653080,474990,635030,173820,185010,317360,
713410,690220,651880,703570,726240,687460,680040,664060,552500,405520,453550,494410,
808760,617790,828020,665510,776700,696280,778360,619410,664250,667900,788330,896380,


90,7440,810,1830,70,40,50,2300,70,2480,70,80,
11520,15440,7930,4740,50,480,23220,860,490,2550,12430,2420,
6940,10090,5620,16440,540,190,84190,73740,102910,970,190,14060,
67490,7280,45470,29940,34300,31350,239960,136730,242350,49390,43420,51430,
205250,90950,247400,225980,172820,247570,367820,528430,440820,192800,148910,193590,
541410,329340,473590,498190,408000,521270,480020,568240,491360,354670,320980,459360,
697170,662020,617050,521930,511680,517980,578500,714880,517090,551030,440190,708030,
869230,597870,703960,577360,742090,705180,724910,658380,695920,580410,516210,521070,


19930,4230,4040,140,60,50,70,90,70,4220,80,90,
93710,94670,131200,13580,720,9000,990,6100,5860,4930,90,130,
421120,254180,329800,41030,9380,33540,12600,890,26140,6150,10880,3520,
597570,550290,438120,164200,175480,167090,86110,57560,91740,101540,78370,90770,
576080,583550,557090,351080,369720,353190,242030,260090,246060,297600,284190,336690,
695230,604190,552490,563240,557400,551040,417970,367590,409260,494850,471510,467270,
870010,514870,582820,579880,650730,612790,466280,579670,566590,476120,574880,553020,
731370,653060,556130,757690,835210,617100,622910,466500,699400,592020,736980,590830,


11000,80,150,460,60,40,20160,80,130,860,160,3390,
6560,1690,380,11630,200,15520,6810,7710,7300,26110,18450,10030,
106350,57950,116120,109940,57010,110960,4200,12640,390,70870,57960,106530,
299080,316350,272730,392610,287590,377830,9100,22940,57460,263230,179560,284220,
572660,509020,418680,489000,432970,467110,133410,183610,191340,371020,513080,403630,
630050,565190,543260,566950,545000,614420,356810,216790,292580,467650,514230,515350,
577890,599810,607080,608090,597680,659050,581360,455320,470680,550610,602240,546310,
719540,606550,626010,622470,592980,705280,698040,535770,693510,597270,547830,549260,


590,70,80,1930,180,690,80,100,120,200,90,90,
100,2250,170,37600,37540,62410,21070,8320,13690,5490,120,4250,
12350,3690,19140,271760,207790,126720,9660,1690,10310,190,3830,6030,
148300,117700,217410,423710,539590,457990,124840,110100,164950,43810,32500,54530,
432130,359120,429670,628950,594660,568660,432590,270320,233980,222250,200120,273930,
721970,426720,530040,690850,547910,673370,468940,523250,420960,529430,474740,525870,
730750,514600,669060,717420,801370,729120,807660,644150,633720,678290,607460,757790,
752530,575000,768440,803090,632420,746440,798550,798890,738830,782340,726140,698650,


